dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,name_pred,n,d,n_classes,in_operating_range,suites,predicted_regret,predicted_out_of_prior,predicted_loss_vs_strong_classical,confidence
18,0.5843203156416384,0.5554715921773336,-0.028848723464304893,3,mfeat-morphological,mfeat-morphological,2000,6,10,True,cc18,0.4441659971379516,True,True,0.004929441360161204
22,0.5247788607712116,0.2723600901034202,-0.2524187706677914,3,mfeat-zernike,mfeat-zernike,2000,47,10,True,cc18,-0.07466180433677935,False,False,0.001475151261040716
28,0.059600794611568995,0.045265467973854834,-0.014335326637714162,3,optdigits,optdigits,5620,62,10,True,cc18,0.6173866536884691,True,True,0.007067737988888085
44,0.17081389112468398,0.10759537541999468,-0.0632185157046893,1,spambase,spambase,4601,57,2,True,cc18,0.6898838725953783,True,True,0.007962669123937264
50,5.886838682484472e-05,0.061907333802148,0.061848465415323156,1,tic-tac-toe,tic-tac-toe,958,9,2,True,cc18,-0.06514726836872953,False,False,0.0013577004870422452
151,0.3415333516987915,0.3156112282140887,-0.025922123484702797,1,electricity,electricity,45312,8,2,False,cc18,16.517096725610187,True,True,0.20333934393681893
182,0.3033436052109638,0.1997755879614136,-0.10356801724955023,1,satimage,satimage,6430,36,6,True,cc18,1.9376028012702684,True,True,0.023364949844459464
469,1.8031549969418499,1.7778513457607608,-0.025303651181089126,1,analcatdata_dmft,analcatdata_dmft,797,4,6,True,cc18,0.27918141240392386,True,True,0.0028928136948816277
1053,0.44125862060246857,0.44318947819086657,0.001930857588398005,1,jm1,jm1,10885,21,2,False,cc18,3.017027035939452,True,True,0.036689741748166825
1067,0.34508915434943654,0.32804807924903945,-0.017041075100397096,1,kc1,kc1,2109,21,2,True,cc18,-0.4743327676268767,False,False,0.006408830017500128
1461,0.21617835385188486,0.19340451445415394,-0.02277383939773092,1,bank-marketing,bank-marketing,45211,16,2,False,cc18,16.598443543888916,True,True,0.20434351763496178
1462,5.5715423926699406e-05,0.00028843273006796613,0.00023271730614126673,1,banknote-authentication,banknote-authentication,1372,4,2,True,cc18,-0.30448170776315575,False,False,0.004312128873855853
1468,0.18697673242734703,0.224516689160887,0.037539956733539964,1,cnae-9,cnae-9,1080,856,9,False,cc18,-0.20043718972809635,False,False,0.0030277667972867816
1510,0.18392096161044166,0.11464093288968437,-0.0692800287207573,1,wdbc,wdbc,569,30,2,True,cc18,-0.34530619354200576,False,False,0.0048160806660312
40982,0.529692841728256,0.4325537178555217,-0.09713912387273432,1,steel-plates-fault,steel-plates-fault,1941,27,7,True,cc18,-0.3622905665053878,False,False,0.005025741731702362
44120,0.40915278089478735,0.3813341948284059,-0.027818586066381434,1,electricity,electricity,38474,7,2,False,grinsztajn_num,13.848967048712913,True,True,0.17040301401676855
46906,0.06934818095868084,0.029954707501140338,-0.039393473457540504,1,anneal,anneal,898,31,5,True,tabarena,-0.12232921580633596,False,False,0.002063574531540007
46915,0.15995332212913702,0.1385128674404119,-0.021440454688725102,1,churn,churn,5000,19,2,True,tabarena,0.5761189377158611,True,True,0.006558314807515076
46921,0.5219098773837588,0.4800628678981079,-0.0418470094856509,1,diabetes,diabetes,768,8,2,True,tabarena,-0.13516613452368922,False,False,0.002222037965192634
46941,0.5270180346803465,0.427552495339315,-0.09946553934103147,1,maternal_health_risk,maternal_health_risk,1014,6,3,True,tabarena,0.02472857753589347,False,False,0.0002482414760392191
46963,0.2744458764610303,0.22846388825227695,-0.04598198820875335,1,website_phishing,website_phishing,1353,9,3,True,tabarena,-0.03485071041365487,False,False,0.0009837091338893284
46979,0.43744367138207935,0.43844465096507274,0.0010009795829933887,1,jm1,jm1,10885,21,2,False,tabarena,3.015654286188035,True,True,0.03667279604305293
