dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,name_pred,n_full,n_eval_train,d_eval,n_classes,in_operating_range,predicted_regret,predicted_out_of_prior,predicted_loss_vs_strong_classical,confidence
18,0.5843203156416384,0.5554715921773336,-0.028848723464304893,3,mfeat-morphological,mfeat-morphological,2000,1400,6,10,True,-0.24941171974165813,False,False,1.0
22,0.5247788607712116,0.2723600901034202,-0.2524187706677914,3,mfeat-zernike,mfeat-zernike,2000,1400,47,10,True,-0.09025326800204472,False,False,0.548666088796011
28,0.059600794611568995,0.045265467973854834,-0.014335326637714162,3,optdigits,optdigits,5620,3934,62,10,True,-0.17176923830388965,False,False,0.8797381853438271
44,0.17081389112468398,0.10759537541999468,-0.0632185157046893,1,spambase,spambase,4601,3220,57,2,True,-0.21213245818601714,False,False,1.0
50,5.886838682484472e-05,0.061907333802148,0.061848465415323156,1,tic-tac-toe,tic-tac-toe,958,670,9,2,True,-0.033839414216239316,False,False,0.31954469358904214
151,0.3415333516987915,0.3156112282140887,-0.025922123484702797,1,electricity,electricity,45312,4000,8,2,False,-0.15699849657585338,False,False,0.8197477268685189
182,0.3033436052109638,0.1997755879614136,-0.10356801724955023,1,satimage,satimage,6430,4000,36,6,True,-0.12070925003473634,False,False,0.6723611854335054
469,1.8031549969418499,1.7778513457607608,-0.025303651181089126,1,analcatdata_dmft,analcatdata_dmft,797,557,4,6,True,0.18558056246907634,True,True,0.5716160376969626
1053,0.44125862060246857,0.44318947819086657,0.001930857588398005,1,jm1,jm1,10885,4000,21,2,False,-0.27202122764979053,False,False,1.0
1067,0.34508915434943654,0.32804807924903945,-0.017041075100397096,1,kc1,kc1,2109,1476,21,2,True,-0.28097622304527403,False,False,1.0
1461,0.21617835385188486,0.19340451445415394,-0.02277383939773092,1,bank-marketing,bank-marketing,45211,4000,16,2,False,-0.17539311055285953,False,False,0.894456319454791
1462,5.5715423926699406e-05,0.00028843273006796613,0.00023271730614126673,1,banknote-authentication,banknote-authentication,1372,960,4,2,True,-0.3320509325135905,False,False,1.0
1468,0.18697673242734703,0.224516689160887,0.037539956733539964,1,cnae-9,cnae-9,1080,756,500,9,False,-0.04768649925941007,False,False,0.3757837772844575
1510,0.18392096161044166,0.11464093288968437,-0.0692800287207573,1,wdbc,wdbc,569,398,30,2,True,-0.2646424575784544,False,False,1.0
40982,0.529692841728256,0.4325537178555217,-0.09713912387273432,1,steel-plates-fault,steel-plates-fault,1941,1358,27,7,True,-0.29923561723450287,False,False,1.0
44120,0.40915278089478735,0.3813341948284059,-0.027818586066381434,1,electricity,electricity,38474,4000,7,2,False,-0.16072768909945714,False,False,0.834893612793059
46906,0.06934818095868084,0.029954707501140338,-0.039393473457540504,1,anneal,anneal,898,628,31,5,True,-0.0863990107692903,False,False,0.5330122602522599
46915,0.15995332212913702,0.1385128674404119,-0.021440454688725102,1,churn,churn,5000,3500,19,2,True,-0.4002407594007743,False,False,1.0
46921,0.5219098773837588,0.4800628678981079,-0.0418470094856509,1,diabetes,diabetes,768,537,8,2,True,-0.16840538192199386,False,False,0.8660760896745225
46941,0.5270180346803465,0.427552495339315,-0.09946553934103147,1,maternal_health_risk,maternal_health_risk,1014,709,6,3,True,-0.018986314239183594,False,False,0.259219742154012
46963,0.2744458764610303,0.22846388825227695,-0.04598198820875335,1,website_phishing,website_phishing,1353,947,9,3,True,-0.10319834313923204,False,False,0.6012417147717299
46979,0.43744367138207935,0.43844465096507274,0.0010009795829933887,1,jm1,jm1,10885,4000,21,2,False,-0.27245646679843993,False,False,1.0
